url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/aktuelnosti/;post-sitemap.xml;200;;1;Aktuelnosti;2;0;Place,PostalAddress,LocalBusiness,ImageObject,WebSite,BreadcrumbList,ListItem,CollectionPage;133;118;183;"Aktuelnosti | Antas Line";;201092;3.17;
http://localhost/antasline/montaza-antistatik-poda-htec-nis/;post-sitemap.xml;200;;1;"Montaža antistatik poda — HTEC, Niš";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;125;118;165;"Montaža antistatik poda — HTEC, Niš | Antas Line";"Montaža Ecotile ESD antistatik poda kod HTEC-a u Nišu — zaštita elektronske opreme od elektrostatičkog pražnjenja, brza montaža bez lepka.";195003;0.99;
http://localhost/antasline/sportska-igralista/;post-sitemap.xml;200;;1;"Sportska igralista";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;128;118;167;"Sportska igrališta | Antas Line";"WISH je kampanja koju je pokrenuo Bergo sa ciljem da omogući atraktivna sportska igralista koji će privući mlade da se više bave sportom";198097;1.02;
http://localhost/antasline/podovi-za-detailing-radionice-i-servise/;post-sitemap.xml;200;;1;"Podovi za detailing radionice i servise";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;128;118;168;"Podovi za detailing radionice i servise | AntasLine";"Veliki izbor podnih ploča za detailing radionice i auto servise. Podovi za detailing radionice i servise od vinila i PVC.";198790;1.14;
http://localhost/antasline/zamena-parketa-u-sportskim-salama/;post-sitemap.xml;200;;1;"zamena parketa u sportskim salama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;126;118;166;"Zamena parketa u sportskim salama | Antas Line";"Zamena parketa u sportskim salama ili postavljanje podloge od polipropilena u plocama preko parketa ili betona";198184;0.98;
http://localhost/antasline/ftalati-stetnost-i-uticaj-na-ljudsko-zdravlje/;post-sitemap.xml;200;;1;"Ftalati – štetnost i uticaj na ljudsko zdravlje";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;127;118;166;"Ftalati – štetnost i uticaj na ljudsko zdravlje | Antas Line";;202667;1.02;
http://localhost/antasline/koji-pod-postaviti-u-garazu/;post-sitemap.xml;200;;1;"Koji pod postaviti u garažu?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;128;118;169;"Koji pod postaviti u garažu? Ecotile PVC ploče | AntasLine";"Podovi za garaze i servise se lako postavljaju preko betona, asfalta i plocica, imaju dug vek trajanja i trpe udarce i hemikalije.";215751;1.29;
http://localhost/antasline/osteceni-industrijski-pod/;post-sitemap.xml;200;;1;"Oštećeni industrijski pod u magacinima i halama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;128;118;169;"Oštećeni industrijski pod u magacinima i halama | Antas Line";"Oštećeni indsutrijski pod u magacinima i halama može uticati na bezbednost i efikasnost u radu. Ecotile nudi jednostavno i dugotrajno rešenje.";218946;1.45;
http://localhost/antasline/prednosti-r-tile-design-podova-u-supermarketima-u-odnosu-na-klasicne-plocice/;post-sitemap.xml;200;;1;"Prednosti R-Tile Design podova u supermarketima u odnosu na klasične pločice";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;128;118;168;"Prednosti R-Tile Design podova u supermarketima | Antas Line";"Rtile design podloge su namenjene za prodavnice, supermarkete i javne objekte. Ploče se jednostvano montiraju preko postojećih površina.";200669;1.59;
http://localhost/antasline/esd-podovi-prica-kupca/;post-sitemap.xml;200;;1;"ESD podovi &#8211; prica kupca";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;127;118;169;"ESD podovi – priča kupca | Antas Line";"Iskustvo korisnika u koriscenju Ecotile elektroprovodljivih podova. Ecotile ESD podovi u plocama. Antistatik podovi iskustvo korisnika.";199549;1.38;
