klasa;putanja;http;novi_url;tezina;izvori
PUKAO;/404.html;404;;1;"ga4 cpc landing"
EKSTERNI-DOMEN;http://www.ekopodneploce.rs/;0;;0;"ads: oglas 261742252319 (Ecotile kampanja / Огласна група 1) | ads: oglas 268106630875 (Ecotile kampanja / Огласна група 1) | ads: oglas 272379061618 (Ecotile kampanja / Огласна група 1)"
EKSTERNI-DOMEN;http://www.ekopodneploce.rs/proizvodi/E%20500-7/E500-7.html;0;;0;"ads: asset 15728870523 [Industrijski podovi] (campaign) | ads: asset 15728870529 [Podovi za magacine] (campaign)"
PREPISATI;/home/industrijski-podovi/;301;/industrijski-podovi/;0;"ads: oglas 277447773110 (Ecotile - Antas line / Огласна група 1) | ads: oglas 277447773113 (Ecotile - Antas line / Огласна група 1) | ads: oglas 292432989048 (Antas line 2018 / Огласна група 1) | ads: oglas 277447773107 (Ecotile - Antas line / Огласна група 1) | ads: oglas 350265691880 (Ecotile - Antas line / Огласна група 1) | ads: oglas 630675839667 (Ecotile - Antas line / Огласна група 1) | ads: oglas 723693109893 (Ecotile - Antas line / Огласна група 1) | ads: oglas 630751941316 (Industrijski podovi-STARO / Ad group 1) | ads: asset 15728870538 [Industrijski podovi] (campaign)"
PREPISATI;/ergonomski-podovi/;404;/ergonomske-podloge-2/;0;"ads: asset 189889793084 [Ergonomski podovi] (campaign)"
PREPISATI;/home/industrijski-podovi/ecotile-5005-podne-ploce/;404;/industrijski-podovi/ecotile-5005-podne-ploce/;0;"ads: asset 15728870517 [Podovi za javne objekte] (campaign) | ads: asset 15728870535 [Antistatik i ESD podovi] (campaign)"
PREPISATI;/home/industrijski-podovi/ecotile-5007/;404;/industrijski-podovi/industrijski-pod/;0;"ads: asset 15728870499 [Podovi za hale i magacine] (campaign)"
PREPISATI;/industrijski-podovi/trakezaobelezavanje/;404;/industrijski-podovi/trake-za-obelezavanje/;0;"ads: asset 186876286419 [Obležavanje podova] (campaign)"
PREPISATI;/sportski-podovi/;301;/sportske-podloge/;0;"ads: oglas 336069755422 (Sportski podovi - Bergo flooring / Огласна група 1) | ads: oglas 350210266045 (Sportski podovi - Bergo flooring / Огласна група 1) | ads: asset 37023772578 [Tereni na otvorenom] (campaign) | ads: asset 37023772572 [Podloge za basket] (ad_group) | ads: asset 37023772578 [Tereni na otvorenom] (ad_group)"
OK;/spoljnje-podne-obloge/;200;;1423;"ads: oglas 811564687830 (Podloge za terase i bazene / Ad group 1) | ads: oglas 193483993138 (podovi za baste / bergo podloge za terase) | ads: oglas 262436062254 (podovi za baste / bergo podloge za terase) | ads: oglas 525919676060 (podovi za baste / bergo podloge za terase) | ads: asset 15814681949 [Podovi za baste i terase] (campaign) | ga4 cpc landing"
OK;/industrijski-podovi/;200;;575;"ads: oglas 811598156128 (ECOTILE INDUSTRIJSKI PODOVI / Ad group 1) | ads: oglas 725780179595 (Search INDUSTRIJSKI Podovi / Industrijski podovi grupa) | ads: asset 324277621262 [Podovi za magacine] (campaign) | ga4 cpc landing"
OK;/spoljnje-podne-obloge/bergo-xl/;200;;49;"ads: asset 368733643451 [Podovi za terase XL] (campaign) | ga4 cpc landing"
