url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/aktuelnosti/;post-sitemap.xml;200;;1;Aktuelnosti;2;0;Place,PostalAddress,LocalBusiness,ImageObject,WebSite,BreadcrumbList,ListItem,CollectionPage;15;0;167;"Aktuelnosti | Antas Line";"Saveti i primeri o industrijskim, sportskim i spoljnim podovima: izbor podloge, dimenzije terena, ESD i antistatik montaže i izvedeni projekti Antas line.";175007;3.13;
http://localhost/antasline/esd-podovi-prica-kupca/;post-sitemap.xml;200;;1;"ESD podovi – Priča kupca";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;151;"ESD podovi – priča kupca | Antas Line";"Iskustvo korisnika u koriscenju Ecotile elektroprovodljivih podova. Ecotile ESD podovi u plocama. Antistatik podovi iskustvo korisnika.";172062;1;
http://localhost/antasline/dimenzije-fudbalskog-terena/;post-sitemap.xml;200;;1;"Dimenzije fudbalskog terena";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;12;0;153;"Dimenzije fudbalskog terena i izgradnja — mere, gol, podloga | Antas Line";"Fudbalski teren: 90–120 × 45–90 m, međunarodni 100–110 × 64–75 m, standard 105×68 m. Gol 7,32×2,44 m, penal 11 m. Dimenzije za mali fudbal i futsal + izbor podloge.";179464;1.33;
http://localhost/antasline/epoksidni-podovi-ili-ecotile-podovi/;post-sitemap.xml;200;;1;"Epoksidni podovi ili PVC ploče (Ecotile): poređenje cene, montaže i trajnosti";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;15;0;160;"Epoksidni pod ili Ecotile PVC ploče? Cena po m² | Antas Line";"Epoksidni pod ili Ecotile PVC ploče: cena po m², vreme montaže i zastoj proizvodnje — direktno poređenje pre nego što odlučite. Pozovite 069 234 00 72.";188729;1.8;
http://localhost/antasline/podloga-za-teniske-terene/;post-sitemap.xml;200;;1;"Podloga za teniske terene";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;15;0;163;"Šljaka za teniski teren — cena i ostale podloge za tenis";"Šljaka: najpristupačnija podloga za tenis, zahteva održavanje. Poredimo sa travom, akrilom i Bergo pločama. Cena i ponuda: 069 234 00 72.";194086;1.26;
http://localhost/antasline/pop-tenis/;post-sitemap.xml;200;;1;"Padel tenis";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;9;0;151;"Padel teren — dimenzije, podloga i izgradnja";"Padel teren: dimenzije 20×10 m, staklene zidove, podloga (veštačka trava ili Bergo) i oprema. Izgradnja terena po meri — pozovite 069 234 00 72.";174026;1.1;
http://localhost/antasline/montaza-antistatik-poda-htec-nis/;post-sitemap.xml;200;;1;"Montaža antistatik poda — HTEC, Niš";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;7;0;147;"Montaža antistatik poda — HTEC, Niš | Antas Line";"Montaža Ecotile ESD antistatik poda kod HTEC-a u Nišu — zaštita elektronske opreme od elektrostatičkog pražnjenja, brza montaža bez lepka.";167728;0.79;
http://localhost/antasline/sportska-igralista/;post-sitemap.xml;200;;1;"Sportska igralista";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;149;"Sportska igrališta | Antas Line";"WISH je kampanja koju je pokrenuo Bergo sa ciljem da omogući atraktivna sportska igralista koji će privući mlade da se više bave sportom";170845;1.01;
http://localhost/antasline/podovi-za-detailing-radionice-i-servise/;post-sitemap.xml;200;;1;"Podovi za detailing radionice i servise";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;150;"Podovi za detailing radionice i servise | AntasLine";"Veliki izbor podnih ploča za detailing radionice i auto servise. Podovi za detailing radionice i servise od vinila i PVC.";171538;1.23;
http://localhost/antasline/ftalati-stetnost-i-uticaj-na-ljudsko-zdravlje/;post-sitemap.xml;200;;1;"Ftalati – štetnost i uticaj na ljudsko zdravlje";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;148;"Ftalati – štetnost i uticaj na ljudsko zdravlje | Antas Line";"Ftalati su omekšivači iz PVC proizvoda koji deluju na endokrini i disajni sistem. Koje su grupe zabranjene u EU i Srbiji i zašto ih naši podovi nemaju.";175324;1.03;
http://localhost/antasline/zamena-parketa-u-sportskim-salama/;post-sitemap.xml;200;;1;"zamena parketa u sportskim salama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;148;"Zamena parketa u sportskim salama | Antas Line";"Zamena parketa u sportskim salama ili postavljanje podloge od polipropilena u plocama preko parketa ili betona";170932;0.91;
http://localhost/antasline/koji-pod-postaviti-u-garazu/;post-sitemap.xml;200;;1;"Koji pod postaviti u garažu?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;151;"Koji pod postaviti u garažu? Ecotile PVC ploče | AntasLine";"Podovi za garaze i servise se lako postavljaju preko betona, asfalta i plocica, imaju dug vek trajanja i trpe udarce i hemikalije.";188499;1.25;
http://localhost/antasline/osteceni-industrijski-pod/;post-sitemap.xml;200;;1;"Oštećeni industrijski pod u magacinima i halama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;151;"Oštećeni industrijski pod u magacinima i halama | Antas Line";"Oštećeni indsutrijski pod u magacinima i halama može uticati na bezbednost i efikasnost u radu. Ecotile nudi jednostavno i dugotrajno rešenje.";191694;1.14;
http://localhost/antasline/prednosti-r-tile-design-podova-u-supermarketima-u-odnosu-na-klasicne-plocice/;post-sitemap.xml;200;;1;"Prednosti R-Tile Design podova u supermarketima u odnosu na klasične pločice";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;150;"Prednosti R-Tile Design podova u supermarketima | Antas Line";"Rtile design podloge su namenjene za prodavnice, supermarkete i javne objekte. Ploče se jednostvano montiraju preko postojećih površina.";173412;1.18;
http://localhost/antasline/podloge-za-krovove-i-terase/;post-sitemap.xml;200;;1;"Podloge za krovove";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;12;0;155;"Podloge za krovove i terase — Bergo PVC | AntasLine";"Podloge za krovove Bergo imaju jednostavan sistem montaze, veliki izbor boja i dug vek trajanja. Ploce su lagane i montiraju se bez lepljenja.";174043;1.59;
http://localhost/antasline/modularni-industrijski-podovi/;post-sitemap.xml;200;;1;"Modularni podovi";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;11;0;152;"Modularni pod | Antas Line";"Modularni pod u pločama  - brzo rešenje za oštećeni beton i velika opterećenja. Ploče lako montiraju, trpe kretanje viljuškara i paletara.";174322;1.45;
http://localhost/antasline/podne-ploce-podovi-za-kontejnere-i-montazne-objekte/;post-sitemap.xml;200;;1;"Podne obloge (podovi) za kontejnere i montažne objekte";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;151;"Podne obloge (podovi) za kontejnere i montažne objekte | Antas Line";"Podovi i podne ploce za kontejnere i montazne objekte. Jednostavna montaza i demontaza, veliki izbor boja i modela, dug vek trajanja";171097;1.21;
