url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/aktuelnosti/;post-sitemap.xml;200;;1;Aktuelnosti;2;0;Place,PostalAddress,LocalBusiness,ImageObject,WebSite,BreadcrumbList,ListItem,CollectionPage;15;0;181;"Aktuelnosti | Antas Line";"Saveti i primeri o industrijskim, sportskim i spoljnim podovima: izbor podloge, dimenzije terena, ESD i antistatik montaže i izvedeni projekti Antas line.";178993;2.11;
http://localhost/antasline/podloga-za-teniske-terene/;post-sitemap.xml;200;;1;"Podloga za teniske terene";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;15;0;179;"Šljaka za teniski teren — cena i ostale podloge za tenis";"Šljaka: najpristupačnija podloga za tenis, zahteva održavanje. Poredimo sa travom, akrilom i Bergo pločama. Cena i ponuda: 069 234 00 72.";199719;1;
http://localhost/antasline/pop-tenis/;post-sitemap.xml;200;;1;"Padel tenis";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;9;0;167;"Padel teren — dimenzije, podloga i izgradnja";"Padel teren: dimenzije 20×10 m, staklene zidove, podloga (veštačka trava ili Bergo) i oprema. Izgradnja terena po meri — pozovite 069 234 00 72.";179659;1.51;
http://localhost/antasline/montaza-antistatik-poda-htec-nis/;post-sitemap.xml;200;;1;"Montaža antistatik poda — HTEC, Niš";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;7;0;163;"Montaža antistatik poda — HTEC, Niš | Antas Line";"Montaža Ecotile ESD antistatik poda kod HTEC-a u Nišu — zaštita elektronske opreme od elektrostatičkog pražnjenja, brza montaža bez lepka.";173384;0.59;
http://localhost/antasline/sportska-igralista/;post-sitemap.xml;200;;1;"Sportska igralista";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;165;"Sportska igrališta | Antas Line";"WISH je kampanja koju je pokrenuo Bergo sa ciljem da omogući atraktivna sportska igralista koji će privući mlade da se više bave sportom";176478;0.76;
http://localhost/antasline/podovi-za-detailing-radionice-i-servise/;post-sitemap.xml;200;;1;"Podovi za detailing radionice i servise";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;166;"Podovi za detailing radionice i servise | AntasLine";"Veliki izbor podnih ploča za detailing radionice i auto servise. Podovi za detailing radionice i servise od vinila i PVC.";177171;0.97;
http://localhost/antasline/ftalati-stetnost-i-uticaj-na-ljudsko-zdravlje/;post-sitemap.xml;200;;1;"Ftalati – štetnost i uticaj na ljudsko zdravlje";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;164;"Ftalati – štetnost i uticaj na ljudsko zdravlje | Antas Line";"Ftalati su omekšivači iz PVC proizvoda koji deluju na endokrini i disajni sistem. Koje su grupe zabranjene u EU i Srbiji i zašto ih naši podovi nemaju.";180916;0.77;
http://localhost/antasline/zamena-parketa-u-sportskim-salama/;post-sitemap.xml;200;;1;"zamena parketa u sportskim salama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;164;"Zamena parketa u sportskim salama | Antas Line";"Zamena parketa u sportskim salama ili postavljanje podloge od polipropilena u plocama preko parketa ili betona";176565;0.66;
http://localhost/antasline/koji-pod-postaviti-u-garazu/;post-sitemap.xml;200;;1;"Koji pod postaviti u garažu?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;167;"Koji pod postaviti u garažu? Ecotile PVC ploče | AntasLine";"Podovi za garaze i servise se lako postavljaju preko betona, asfalta i plocica, imaju dug vek trajanja i trpe udarce i hemikalije.";194132;0.87;
http://localhost/antasline/osteceni-industrijski-pod/;post-sitemap.xml;200;;1;"Oštećeni industrijski pod u magacinima i halama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;167;"Oštećeni industrijski pod u magacinima i halama | Antas Line";"Oštećeni indsutrijski pod u magacinima i halama može uticati na bezbednost i efikasnost u radu. Ecotile nudi jednostavno i dugotrajno rešenje.";197327;0.97;
http://localhost/antasline/prednosti-r-tile-design-podova-u-supermarketima-u-odnosu-na-klasicne-plocice/;post-sitemap.xml;200;;1;"Prednosti R-Tile Design podova u supermarketima u odnosu na klasične pločice";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;166;"Prednosti R-Tile Design podova u supermarketima | Antas Line";"Rtile design podloge su namenjene za prodavnice, supermarkete i javne objekte. Ploče se jednostvano montiraju preko postojećih površina.";179050;0.91;
http://localhost/antasline/esd-podovi-prica-kupca/;post-sitemap.xml;200;;1;"ESD podovi &#8211; prica kupca";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;167;"ESD podovi – priča kupca | Antas Line";"Iskustvo korisnika u koriscenju Ecotile elektroprovodljivih podova. Ecotile ESD podovi u plocama. Antistatik podovi iskustvo korisnika.";177930;0.78;
