search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
industrijski podovi;industrijski;320;2157;6615;1;0;0
pvc podovi;pvc-plastika;263;1765;5468;0;0;0
industrijski podovi cena po m2;industrijski;181;758;4128;0;0;0
podovi za garaze;garaza-servis;166;649;3629;0;0;0
pod za garazu;garaza-servis;130;653;2833;0;0;0
podne obloge za terasu;terasa-balkon;156;582;2696;0;0;0
podovi za radionice;radionice;124;531;2495;0;0;0
industriski podovi;industrijski;81;365;1698;0;0;0
industrijski pod;industrijski;91;582;1603;0;0;0
pvc podovi cena;pvc-plastika;71;403;1533;0;0;0
pvc podovi za terase cena;terasa-balkon;69;329;1422;0;0;0
podovi za terase;terasa-balkon;69;360;1237;0;0;0
industrijski pvc podovi cena;industrijski;46;182;1132;1;0;0
pvc podne obloge;pvc-plastika;56;294;1132;0;0;0
pvc podne obloge cena;pvc-plastika;51;163;1083;0;0;0
pvc pod;pvc-plastika;47;453;988;0;0;0
industrijski podovi cena;industrijski;49;204;935;0;0;0
epoksi podovi;epoksid-conquest;41;472;897;0;1;0
pvc podovi za garaze cena;garaza-servis;41;130;897;0;0;0
antistatik podovi;antistatik-esd;37;231;875;0;0;0
gumeni podovi za terase cena;terasa-balkon;48;204;867;0;0;0
podne obloge;ostalo;47;331;856;0;0;0
pod za radionice;radionice;37;163;855;0;0;0
antistatik pod;antistatik-esd;27;191;834;0;0;0
podovi;ostalo;34;545;751;0;0;0
pod za radionicu;radionice;36;166;712;0;0;0
podloga za garazu;garaza-servis;31;136;676;0;0;0
vinil ploče za pod;lvt-vinil-parket;31;151;673;0;0;0
pvc podovi za radionice;radionice;32;160;648;0;0;0
reciklirana guma za podove cena;gumeni-podovi;29;125;635;0;0;0
podovi za radionice cena;radionice;30;116;629;0;0;0
epoxidni podovi;epoksid-conquest;27;207;620;0;1;0
podloge za terasu;terasa-balkon;35;182;580;0;0;0
podloga za terasu;terasa-balkon;29;175;572;0;0;0
samolepljivi podovi;ostalo;26;117;570;0;0;0
podne obloge za garazu;garaza-servis;26;112;563;0;0;0
vinil podovi;lvt-vinil-parket;20;149;548;0;0;0
podovi za garazu;garaza-servis;24;81;529;0;0;0
podovi za hale;industrijski;18;47;524;0;0;0
gumeni podovi za radionice;radionice;22;138;514;0;0;0
vinilni podovi;lvt-vinil-parket;23;180;501;0;0;0
deking cena;ostalo;6;37;495;0;0;1
linoleum;lvt-vinil-parket;22;276;483;0;0;0
industrijski pod cena;industrijski;21;98;478;0;0;0
plastični podovi;pvc-plastika;22;121;476;0;0;0
pvc pod za garazu;garaza-servis;20;92;433;0;0;0
podloge za garazu;garaza-servis;20;66;431;0;0;0
gumeni podovi za garaze cena;garaza-servis;19;80;430;0;0;0
industrijski linoleum;industrijski;20;51;422;0;0;0
gumene podloge za terasu;terasa-balkon;25;96;412;0;0;0
plasticni podovi;pvc-plastika;23;163;411;0;0;0
gumeni podovi za radionice cena;radionice;13;71;401;0;0;0
gume za podove;ostalo;18;78;401;0;0;0
pvc plocice za pod;pvc-plastika;18;59;395;0;0;1
uradi sam novi beograd;ostalo;3;6;388;0;0;0
podne obloge za terase jysk;konkurenti;15;129;384;0;1;0
pod za garaze;garaza-servis;18;83;382;0;0;0
pvc podovi za terase;terasa-balkon;20;121;379;0;0;0
pvc ploce za pod;pvc-plastika;17;79;372;0;0;0
garazni podovi;garaza-servis;17;60;368;0;0;0
pvc podovi za garaze;garaza-servis;19;71;365;0;0;0
podovi za garaže;garaza-servis;19;73;363;0;0;0
podne obloge za terase;terasa-balkon;22;92;352;1;0;0
pod za terasu;terasa-balkon;20;151;336;0;0;0
uradi sam near me;ostalo;1;1;301;0;0;0
podne obloge za dvoriste;dvoriste-basta;17;97;298;0;0;0
podovi za radionice kupujemprodajem;konkurenti;15;73;294;0;1;0
deking za terase;terasa-balkon;8;95;289;0;0;1
plasticni podovi za garaze;garaza-servis;13;44;285;0;0;0
modularni podovi;ostalo;13;130;280;0;0;0
industrijski podovi jagodina;industrijski;14;116;280;0;0;0
epoksidna smola za beton cena;epoksid-conquest;11;35;277;0;1;0
industrijski podovi beograd;industrijski;4;14;272;0;0;0
plasticni pod za garazu;garaza-servis;12;55;266;0;0;0
plasticni pod;pvc-plastika;12;64;266;0;0;0
plasticne plocice za garazu;garaza-servis;12;38;263;0;0;1
industrijska guma za podove;industrijski;11;42;251;0;0;0
podna obloga za terasu;terasa-balkon;16;77;248;0;0;0
sika industrijski podovi;konkurenti;12;74;247;0;1;0
podovi za garaze cena;garaza-servis;11;48;242;0;0;0
epoxy pod;epoksid-conquest;11;115;241;0;1;0
pod za garažu;garaza-servis;11;77;239;0;0;0
pvc industrijski podovi;industrijski;12;60;239;0;0;0
podovi od epoksi smole;epoksid-conquest;10;122;226;0;1;0
plocice za terasu;terasa-balkon;16;91;221;0;0;1
