query;clicks;impressions;ctr;position
antas line;436;779;0,5597;1,0988
podloga za kosarkaski teren cena;346;1133;0,3054;2,2789
vestacka trava za fudbal cena;337;1211;0,2783;1,9125
antistatik pod;282;1802;0,1565;1,5866
podloga za košarkaški teren;277;628;0,4411;1,3248
teren za basket dimenzije;263;1132;0,2323;1,3949
gumeni podovi za terase cena;250;4221;0,0592;3,9576
bergo podloge cena;209;960;0,2177;2,6635
dimenzije terena za basket;186;836;0,2225;1,3708
gumeni tepih za terasu;171;1945;0,0879;1,0468
antistatik podovi;166;787;0,2109;2,1881
industrijski podovi;161;6321;0,0255;7,243
podloga za parking;157;1105;0,1421;1,5014
podovi za radionice;144;1897;0,0759;3,5488
dimenzije table za kos;137;2729;0,0502;1,0755
bergo podloge;136;1444;0,0942;6,3213
vestacka trava za fudbal;136;411;0,3309;1,6837
kosarkaski teren dimenzije;135;3665;0,0368;1,1653
izgradnja teniskog terena cena;135;576;0,2344;3,2326
ftalati;131;1973;0,0664;4,6533
dimenzije košarkaškog terena;123;4792;0,0257;1,7473
dimenzije kosarkaskog terena;119;3863;0,0308;1,4437
podovi za terase;112;3997;0,028;10,5932
gumene podloge za terasu;110;1637;0,0672;1,3653
podne obloge za terasu;109;3609;0,0302;12,3034
teren za basket;105;819;0,1282;1,1184
dimenzije terena za basket 3 na 3;105;655;0,1603;1,8641
dimenzije kosarkaske table;104;1598;0,0651;1,0482
podne obloge za dvoriste;103;2838;0,0363;3,1723
sta staviti preko parketa;103;756;0,1362;3,4815
dimenzije košarkaške table;94;1457;0,0645;1,024
košarkaški teren dimenzije;82;2123;0,0386;1,5422
gumeni podovi za terase;76;1358;0,056;5,3446
podloga za basket;76;165;0,4606;1,2121
sportske podloge cena;75;316;0,2373;1,8323
podloge za terasu;74;2177;0,034;9,587
dimenzije terena za basket 3x3;73;680;0,1074;1,4456
podloga za kosarku;72;186;0,3871;1,2258
plasticne staze za dvoriste;71;577;0,1231;2,2322
plastika za parking;67;377;0,1777;1,3236
podovi za garaze;66;2244;0,0294;8,1439
teren za kosarku;66;1203;0,0549;1,0457
košarkaški teren;64;2556;0,025;2,946
podloge za parking;64;315;0,2032;1,1302
kosarkaski teren;62;4438;0,014;1,813
veštačka trava za fudbal;55;106;0,5189;1,1792
podloga za terene;54;176;0,3068;1,642
padel teren dimenzije;53;3133;0,0169;1,2218
podloga za terasu;52;1910;0,0272;10,4487
dimenzije basket terena;51;234;0,2179;1,4145
bergo podloga cena;51;199;0,2563;3,1859
sportski podovi;49;1015;0,0483;10,4985
pod za garazu;48;1684;0,0285;8,6027
spoljne podne obloge;48;931;0,0516;6,5177
kosevi sa konstrukcijom;47;474;0,0992;7,8312
basket teren dimenzije;46;258;0,1783;1,4845
vinil podovi za terase;45;1216;0,037;8,611
podloga za kosarkaski teren;45;142;0,3169;1,6901
kosarkaska tabla dimenzije;44;752;0,0585;1,0798
dimenzije koša za košarku;44;675;0,0652;1,0252
sportske podloge;42;764;0,055;11,4751
